SAP_Field,OSC_Field,OSC_Object
BIBODate_c,BIBODate_c,Account
SalesOffice_c,SalesOffice_c,Account
SalesGroup_c,SalesGroup_c,Account
SalesDistrict_c,SalesDistrict_c,Account
OwnerPartyName,OwnerPartyName,Account
BIBOProductHierarchy_c,BIBOProductHierarchy_c,Account
BIBOProductCode_c,BIBOProductCode_c,Account
BIBOProductName_c,BIBOProductName_c,Account
CustomersBuyFromBCPThisYearLas_c,CustomersBuyFromBCPThisYearLas_c,Account
CustomersBuyThisMonthLastYear_c,CustomersBuyThisMonthLastYear_c,Account
CustomersBuyThisMonthProrate_c,CustomersBuyThisMonthProrate_c,Account
CustomerSalesThroughPOSThisMon_c,CustomerSalesThroughPOSThisMon_c,Account
DifferencePorateThisMonth_c,DifferencePorateThisMonth_c,Account
POSStockVolAveragePerDayKL_c,POSStockVolAveragePerDayKL_c,Account
MarginBeforeAdjustThisYearsAgo_c,MarginBeforeAdjustThisYearsAgo_c,Account
MarginBeforeAdjustThisYearKB_c,MarginBeforeAdjustThisYearKB_c,Account
MarginBeforeAdjustTheMonthKB_c,MarginBeforeAdjustTheMonthKB_c,Account
MarginAfterAdjustThisYearsAgo_c,MarginAfterAdjustThisYearsAgo_c,Account
MarginAfterAdjustThisYearKB_c,MarginAfterAdjustThisYearKB_c,Account
MarginAfterAdjustTheMonthKB_c,MarginAfterAdjustTheMonthKB_c,Account
