Column_Count,XML_Field
1,BIBODate_c
2,SalesOffice_c
3,SalesGroup_c
4,SalesDistrict_c
5,OwnerPartyName
6,BIBOProductHierarchy_c
7,BIBOProductCode_c
8,BIBOProductName_c
9,CustomersBuyFromBCPThisYearLas_c
10,CustomersBuyThisMonthLastYear_c
11,CustomersBuyThisMonthProrate_c
12,CustomerSalesThroughPOSThisMon_c
13,DifferencePorateThisMonth_c
14,POSStockVolAveragePerDayKL_c
15,MarginBeforeAdjustThisYearsAgo_c
16,MarginBeforeAdjustThisYearKB_c
17,MarginBeforeAdjustTheMonthKB_c
18,MarginAfterAdjustThisYearsAgo_c
19,MarginAfterAdjustThisYearKB_c
20,MarginAfterAdjustTheMonthKB_c
